E[1] [eV],Re(eps)_ecutwfc_30,Re(eps)_ecutwfc_40,Re(eps)_ecutwfc_50,Re(eps)_ecutwfc_60,Re(eps)_ecutwfc_70,Re(eps)_ecutwfc_80,Re(eps)_ecutwfc_90,Re(eps)_ecutwfc_100
8.045113,0.93467400,0.91828100,0.91056600,0.91370500,0.91453300,0.91452700,0.91451900,0.91449800
8.082706,0.94199500,0.92346100,0.92439900,0.93178100,0.93427800,0.93459300,0.93460000,0.93457600
8.120299,0.94457900,0.94483500,0.95323000,0.95991300,0.96298400,0.96349000,0.96351700,0.96350400
8.157894,0.96108400,0.97678200,0.98719100,0.99050700,0.99283100,0.99330000,0.99333500,0.99333700
8.195488,0.99014900,1.00948600,1.01524300,1.01304800,1.01336400,1.01354600,1.01356700,1.01357900
8.233082,1.02149300,1.03152200,1.02346800,1.01269300,1.01003300,1.00968700,1.00968000,1.00970100
8.270677,1.04371000,1.02806200,1.00292900,0.98620000,0.98185800,0.98109200,0.98106000,0.98107800
8.308270,1.04421700,0.99661100,0.96848000,0.95470900,0.95138700,0.95070800,0.95066300,0.95066000
8.345864,1.01985900,0.95985100,0.94629000,0.94073300,0.93950200,0.93924500,0.93921500,0.93919400
8.383458,0.98570000,0.94235600,0.94763400,0.94878100,0.94856600,0.94859000,0.94857700,0.94855400
8.421052,0.96316600,0.94841900,0.96336300,0.96600200,0.96508100,0.96501700,0.96500100,0.96497900
8.458646,0.96516900,0.96502500,0.97647400,0.97680400,0.97461200,0.97424100,0.97420200,0.97417300
8.496240,0.98319100,0.97764500,0.97928200,0.98001700,0.97798100,0.97751200,0.97745400,0.97741100
8.533834,1.00082500,0.98173400,0.97944000,0.98487800,0.98429100,0.98394500,0.98388700,0.98383500
8.571428,1.00788600,0.98570500,0.98436700,0.99393100,0.99508500,0.99494000,0.99489600,0.99484700
8.609021,1.00983200,0.99437200,0.99441700,1.00242400,1.00442500,1.00441400,1.00439200,1.00435900
8.646616,1.01630000,1.00461100,1.00093900,1.00331100,1.00522400,1.00530400,1.00531800,1.00532000
8.684210,1.02832600,1.00781000,0.99975000,1.00146400,1.00388000,1.00426300,1.00432900,1.00436700
8.721804,1.03777600,1.00640400,1.00273600,1.00807700,1.01079000,1.01160500,1.01172400,1.01178900
8.759398,1.03958800,1.01407800,1.01461500,1.01978800,1.02147800,1.02224500,1.02237900,1.02245900
8.796992,1.04424900,1.02951400,1.02562400,1.02662100,1.02685200,1.02702000,1.02708400,1.02712700
8.834586,1.05605700,1.04041800,1.02754900,1.02548800,1.02541500,1.02527000,1.02526900,1.02526700
8.872180,1.06521200,1.04070700,1.02717300,1.02777600,1.02867000,1.02873000,1.02873400,1.02872600
8.909773,1.06504100,1.04108800,1.03550300,1.03982000,1.04102700,1.04127500,1.04129700,1.04129500
8.947368,1.06493300,1.05012100,1.04880200,1.05364400,1.05381600,1.05401600,1.05404600,1.05405500
8.984962,1.07403200,1.06187800,1.05776600,1.05990100,1.05897300,1.05890300,1.05891600,1.05892100
9.022555,1.08638200,1.06809700,1.06067400,1.06081700,1.06090800,1.06072500,1.06070900,1.06069300
9.060150,1.09447800,1.06888800,1.06758200,1.06843800,1.07090400,1.07091400,1.07089500,1.07086800
9.097744,1.09716100,1.07417800,1.08335800,1.08545000,1.08902700,1.08943600,1.08946300,1.08946000
9.135338,1.10321800,1.08701100,1.10330600,1.10670000,1.10948000,1.11017200,1.11025400,1.11028900
9.172933,1.11829100,1.10396000,1.12142500,1.12567900,1.12707200,1.12757000,1.12764600,1.12768600
9.210526,1.13740600,1.12104400,1.13147000,1.13469100,1.13453900,1.13457600,1.13461100,1.13463600
9.248120,1.15435000,1.13250300,1.12759000,1.12723100,1.12532300,1.12502200,1.12503000,1.12504700
9.285713,1.16366900,1.13100400,1.11169100,1.10845600,1.10567400,1.10531900,1.10531400,1.10531900
9.323307,1.15927800,1.11784700,1.09527600,1.09142800,1.08864200,1.08825100,1.08823300,1.08822900
9.360902,1.14389600,1.10514800,1.08222000,1.07811700,1.07575100,1.07522100,1.07518500,1.07517200
9.398496,1.13181500,1.09535900,1.06955100,1.06856400,1.06823200,1.06792500,1.06789400,1.06787300
9.436090,1.12499800,1.08651400,1.06647800,1.06917300,1.07148200,1.07160800,1.07161300,1.07160000
9.473684,1.11968800,1.08796100,1.07750000,1.07944200,1.08287000,1.08330800,1.08334600,1.08334900
9.511277,1.12170700,1.10145700,1.09596600,1.09611000,1.09860800,1.09926900,1.09934400,1.09937300
9.548872,1.13218600,1.12026600,1.11571200,1.11525500,1.11598400,1.11657500,1.11665900,1.11670200
9.586466,1.14658900,1.13936700,1.13329900,1.13296200,1.13245500,1.13260700,1.13264000,1.13265600
9.624060,1.16197100,1.15566500,1.14615800,1.14526300,1.14413600,1.14386100,1.14383200,1.14381400
9.661654,1.17399500,1.16560100,1.15127600,1.15006500,1.14872600,1.14830300,1.14824800,1.14821200
9.699247,1.17824400,1.16674800,1.15100300,1.15314200,1.15222500,1.15196900,1.15192700,1.15189200
9.736841,1.17932900,1.16483800,1.15568600,1.16124100,1.16060800,1.16044100,1.16040300,1.16036700
9.774436,1.18571000,1.16859100,1.16765500,1.17308600,1.17217000,1.17194700,1.17189200,1.17184700
9.812029,1.19439500,1.17784000,1.18053400,1.18308900,1.18186400,1.18158400,1.18153300,1.18149800
9.849624,1.19897700,1.18639200,1.18780300,1.18640300,1.18590700,1.18557700,1.18554200,1.18552500
